Abstract,year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In this paper, a composite cost-oriented priority scheduling rule is compared to three other well-known rules, that are basically time-oriented. The criteria used for comparison include: total cost per job, number of late jobs, machine utilization, in-process inventory and the number of late jobs in-process. Repeated measures analysis of variance is used and followed by mean comparisons. Results suggest that SPT and cost rides are preferred in most of the criteria. © 1973 Taylor and Francis Group, LLC.",1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A recent work obtained closed-form solutions to the.problem of optimally grouping a multi-item inventory into subgroups with a common order cycle per group, when the distribution by value of the inventory could be described by a Pareto function. This paper studies the sensitivity of the optimal subgroup boundaries so obtained. Closed-form expressions have been developed to find intervals for the subgroup boundaries for any given level of suboptimality. Graphs have been provided to aid the user in selecting a cost-effective level of aggregation and choosing appropriate subgroup boundaries for a whole range of inventory distributions. The results of sensitivity analyses demonstrate the availability of flexibility in the partition boundaries and the cost-effectiveness of any stock control system through three groups, and thus also provide a theoretical support to the intuitive ABC system of classifying the items. © 1984 Taylor and Francis Ltd.",1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"‘Measurement’ usually gives an impression of things being measured objectively, accurately and usually with the help of an instrument. However, this is not always possible. How does one measure the attitude of a government, strength of a tea blend or relative weights of different objectives? These can only be measured subjectively, by one or more experts or judges. When measurement is based on subjective evaluations by several judges, a method is required to combine them into a single judgement. Each method has its merits and demerits and the one most appropriate for a situation may be selected. When subjective measurement is made by a single judge, no one can alter it because the judge alone is authorised to evaluate. However, the problem arises when some of the inferences drawn from this judgement contradict each other. It has been widely accepted that this is a common problem and methods have been devised to bring about clarity and consistency in the judgement made by a judge. The work on this subject has been done in various disciplines and lacks common nomenclature. This restricts the use of a method to the discipline for which it has been developed, even though similar problems may exist in other disciplines. Also, a method should achieve consistency in judgement without changing the judgement too much, which is not always the case. This paper attempts to structure the problem of subjective measurement by a single judge, understand the role of methods in improving it and presents two methods of improving subjective measurement by a single judge in ratio scale. © 1990 Taylor & Francis Group, LLC.",1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The typical assembly line is serial with no paralleling of work elements and work stations allowed. The series assumption restricts the least cycle time to be the maximum work element time, thus limiting the production rate. An alternative way to increase the production rate (hence lowering the cycle time) is by assigning multiple workers to one work station. In this paper we propose the parallel assignment method (PAM) for achieving a higher production rate. In the first phase of PAM the work elements are assigned to work stations under the multi-stage upper time limits. But as two or more workers are assigned to one station, the operation time of each worker is longer in proportion to the number of workers at the station. Therefore, in the second phase of PAM work elements are assigned to the workers in each station so that each of the workers may perform shorter work elements where the work element is a minimum rational indivisible work item. Practical problems which cannot he solved by serial line balancing methods are provided and.solved to explain the effectiveness of PAM. © 1983 Taylor & Francis Group, LLC.",1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In this paper, we develop a linear programming framework for computing a quadratic approximation to the value function, which constitutes the off-line computation of a hierarchical FMS scheduling approach previously developed by us. In contrast to previous work, where relatively crude value functions were used, we develop a quadratic approximation that is a prior fit. We consider the multiple part multiple machine discounted cost case and illustrate the approach via a simulation example in the context of an industrial setting. © 1990 Taylor & Francis Group, LLC.",1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper discusses AI-oriented production management systems using object oriented programming. The two pilot systems described here are both implemented using the Smalltalk-80 programming environment. One of the systems concerns production planning in dairy industries, while the other is a simulation tool for production flow analysis. The merits of object oriented programming in the design of the user interfaces are emphasised. The flexibility of the object oriented approach for stepwise development has been observed. Simulation method as a communication tool is used in both systems and the applicability of Smalltalk in simulation is demonstrated. Design effectiveness and efficiency has proven surprisingly good. The experiences introduced in the paper are based on two geographically disjoint research groups, having thus impact on the generality of the observations made. © 1988 Taylor and Francis Ltd.",1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The three grinding processes, namely, surface, internal and external are simu-Jated using a specially designed computer program. The grinding wheel cutting profile is generated randomly using probabilistic techniques. For the three grinding process modes the conformity of the wheel work is analysed for the same input parameters. Based on the findings, proper input parameters can be selected for achieving a given product quality. © 1986 Taylor and Francis Group, LLC.",1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"An adaptive control algorithm is formulated which provides, in real time, an optimal adjustment to a controller Bet-point in response to changes in the operating characteristics of the process. Such an algorithm is applicable to a variety of industrial processes: for example, those in which the product is either a containerized consumable or a sheet of some type. A Bayesian model is developed for the univariate case and the optimal control policy found. Multivariate extensions are also considered, as is the problem of process overhaul. © 1977, Taylor & Francis Group, LLC.",1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper presents a conceptual framework towards the development of a mathematical model of a production system. The framework is functional, and it is designed to permit a rational mathematical formulation of the transient and steady state operation of production systems. The boundaries and nature of a generalized production system are defined with reference to the organization system and environmental systems. The sub-systems and component functions of the production system are then defined and classified in terms of trees, stages, streams, levels, and components. The dimensions and units necessary for a quantitative analysis of the streams, levels, and components are defined. The types of mathematical relationships pertinent in defining the system operating functions are described and typical resulting equations presented. © 1963 Taylor & Francis Group, LLC. All rights reserved.",1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Process performance is very dependent upon the unique characteristics of the process equipment and the work/tooling interactions. To address this problem, research has been conducted to explore the feasibility of using an intelligent supervisory controller to build a local process database and provide control for the process. The research concerns the milling process as used in a machining centre. This paper will report on the data analysis, proposed control approaches, and how these results relate to the intelligent supervisory controller. © 1988 Taylor & Francis Group, LLC.",1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ad important characteristic of a continuous sampling plan is the average fraction inspected. This paper presents a computationally efficient and easily programmable solution for calculation of the average fraction inspected. © 1975, Taylor & Francis Group, LLC.",1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The grouping of parts into families and machines into cells poses an important problem in the design and planning of the flexible manufacturing cells (FMC). This paper presents a new method of forming flexible manufacturing cells, based on branching from seed machine and bounding on a completed part. This method creates a number of alternative solutions based on the presence of a seed part which will enhance the flexibility of the manufacturing cells’ design, and which provides an opportunity to evaluate different options and to select the one which is the most cost effective. © 1990 Taylor & Francis Group, LLC.",1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Experimental results are presented for the piercing of circular holes in sheet metal using pads of conventional rubber or polyurethane. An empirical equation has been obtained for calculating the required loads and an attempt has been made to interpret this equation in terms of rubber hardness and the work-hardening characteristic of the metal. It is shown that the deformation behaviour of the polyurethane is different from that of the rubber and that it is misleading to treat polyurethane as though it is merely a rubber with a higher Shore hardness.© 1967 Taylor & Francis Group, LLC. All rights reserved.",1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Computer Aided Process Planning (CAPP) has been recognized as playing a key role in Computer Integrated Manufacturing (CIM). In the last two decades, a tremendous effort has been made in developing CAPP systems. However, the benefits of CAPP in the real industrial environment are still to be seen. In this paper, a comprehensive summary on the state-of-the-art and projection of future trends in CAPP is presented to help make decisions concerning CAPP implementation today and to aid in guiding research for tomorrow. We systematically overview the historical background of the development of CAPP and discuss the current techniques which includes the implementation approaches, GT technology, application of AI techniques, programming languages, etc., for implementation CAPP systems. About 14 well-known CAPP systems, which are based on the variant, generative or semi-generative approach, are briefly introduced in this paper. In total about 156 currently existing CAPP systems are listed in Table 1 in the appendix. Table 1 provides the general information of the existing systems, such as the characteristics of the systems, the domain of planable workpieces, implementation approaches, commercial situation, interfacing abilities, programming languages, references, and developers, etc. Future trends proposed in this paper covers the topics about interfacing, integration, AI techniques, and single data base systems, as well as PC, workstations and software migration strategy, etc., which might be used to guide coming research. More than 200 technical papers have been read and are referenced at the end of this paper. © 1989 Taylor & Francis Group, LLC.",1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flow-shrrltype pmdoction lines with finite buffer storage heween olaration atotiow are consirlcrud. Operation stations arc subject to hmakdowns. Opernfinn time and repair time distributions are assumed to he phase-type. Time until s breakdown occurs is exponentially distributd,.A Merkov chain a11l)roach is dereluprrl to obtain certain performance measures using a numerical pmcwlure. © 1985 Taylor and Francis Ltd.",1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In this paper we present two new dispatching rules for minimizing tardiness in a job shop. Both rules are closely related to the modified operation due date (MOD) rule. The first is a combination of the shortest processing time (SPT) rule and the critical ratio (CR) rule, and the second is a combination of the SPT rule and the slack per remaining work (S/RPT) rule. The two new rules are simple to implement and can easily be adapted to minimize weighted tardiness. Moreover they do not require any parameter estimation for their implementation, which is a notable disadvantage of some earlier rules such as COVERT. Simulation results show that the performance of the two new rules is better than that of other rules that have been developed to minimize total weighted and unweighted tardiness. This holds true across a range of shop conditions. Furthermore, the rules are effective in minimizing the number of tardy jobs. © 1990 Taylor & Francis Group, LLC.",1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper deals with improvements in manufacturing effectiveness found possible through examination of design and machining requirements for light mechanical/electrical lifting equipment, manufactured on a batch basis. Value analysis and value engineering concepts were applied to the design of a small overhead travelling trolley. The aim of the value analysis was to achieve maximum savings from modifications to the existing design, whilst that of value engineering was the development of a conceptually-new design directed towards minimum manufacturing cost. The potential changes and savings from both approaches are described. In the machine shop capacity study, components were first coded and classified by the VUOSO system and a representative sample, by value, taken as the basis for the process planning investigation. By reference to revised machining methods, standard data, and the maximum use of special tooling, jigs, fixtures and carbide tooling, a possible average reduction in machining time of approximately 48% was indicated. Using the sampling approach as a basis for assessment of improvement potential led to the suggestion that an increase in output approaching 70% would be an appropriate target using existing machine tools. © 1979 Taylor and Francis Ltd.",1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper reports on a simulation study of hierarchical planning methods, which can be utilized in connection with material requirements planning. The company considered produces one final product having a complex structure. The factory is functionally organized. Two different cases have been studied. In the first case there were both seasonal and independent stochastic variations in demand and in the second case only stochastic variations. Aggregate decisions are based on a simple model in which all items are aggregated into one product group and all machines into one machine group. The aggregate plan is disaggregated by changing the detailed production plans obtained from the material requirements planning system. Two different methods involving changes of order release times and changes of order quantities have been used. Simulation results indicate that even very simple hierarchical planning processes can give significant cost reductions compared to using material requirements planning based on predicted demand. © 1981 Taylor & Francis Group, LLC.",1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A new paradigm is proposed for the realization of computer integrated production management. Computer integrated manufacturing (CIM) can never be constructed just by combining the automated devices available at present, such as CAD, CAM, CAPP and MRP systems. To realize successful CIM, the automation of friendly communication between experts is required, which plays a most important role in the integration of the various functions of production management. This points to the importance of computer integrated production management. In order to confirm the validity of the paradigm proposed in this paper, a prototype in process planning has been developed which aims at integration with CAD. © 1988 Taylor and Francis Ltd.",1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In layout planning the concept of ‘flow dominance’—the situation in which relatively few paths of flow dominate the overall materials movement problem— has been recognized for many years as a guide to whether line layout may be effective. More recently, so-called upper and lower bounds on flow dominance and a parameter‘problem complexity’ based on these bounds have been proposed as being more informative than flow dominance alone. In this paper it is shown that these so-called upper and lower bounds are only bounding values under certain conditions. A new parameter, ‘flow complexity’, is proposed which more effectively measures the complexity of flow. This parameter has a value which does lie between two bounds, one of which implies a pure flow line situation, the other the pure job shop situation. © 1983 Taylor and Francis Ltd.",1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Accumulation of knowledge in and practical experience of simple flowlines and group technology flowlines indicates that no comprehensive classification of the alternative configurations is available. Those developed in the mass production context do not sufficiently reflect the possibilities in group systems, while those quoted in the group technology context tend to be superficial This paper is aimed at overcoming this problem. It integrates all the varieties of flowlines into one classification scheme. It also suggests the materials flow system for each identified flowline in the scheme. © 1984 Taylor & Francis Group, LLC.",1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In designing a multi-product flowline, problem of material handling and workilow arise on one hand and of machine utilization on the other. Because of variations in the number of operations on parts and in their operation sequences, a sequence of machines that satisfies one particular family of parts is unlikely to satisfy all the other families. On the other hand, if a sequence is generated to accommodate all the families of parta, a simple flowline is unlikely. This is the problem of the layout of multi-product flowlines. Most of the solution techniques available are for the single-machine case which is a restricted aapect of the problem. Solution of the general machine case has received very little attention in the literature. This paper considers all the facets of the problem. It advances a solution technique baaed on the link-analysis or travel-charting method. The technique is all embracing and hence can be tailored to satisfy the requirements of either a single machine or the general machine situation. Manual implementation of the design algorithm ia illustrated by an example. © 1986 Taylor and Francis Ltd.",1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Problems of workload imbalance in Group Technology (GT) can be mitigated by transferring workloads from a congested machine centre in one cell to an alternative, less congested machine centre in another cell. Such inter-cell workload transfer results in a GT system which is a hybrid between pure GT (in which components are. completely processed within a cell) and functional layout (FL) (in which components are routed from one department of similar machines to another until completely processed) Though inter-cell workload transfer is often used in practice, its effects on system performance in GT have not been evaluated. This paper describes a general purpose GT simulator which has been developed and the evaluation of workload transfer which has been carried out (Aug 1981). Various job and cell attributes are employed as criteria for initiating workload transfers and the results of such transfers are examined in terms of job satisfaction, scheduling effort and material handling as well as overall shop performance. The interacting effects of job allocation rules, priority dispatching rules and batch overlapping are investigated under varying degrees of deviation from ‘pure’ GT. The effects of changes in job mix and of increases in demand are also examined. So are the effects of unbalanced capacity and cell size. The implications of the results for the practical design and operation of GT systems are also discussed. © 1984 Taylor & Francis Group, LLC.",1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This conference proceedings contains 13 papers. The topics discussed are toward the factory of the future, change in the philosophy of work; human aspects in integrated manufacturing systems; developments and planning for FMS, flexible manufacturing with laser; material flow components for automated flexible manufacturing; a production model for agricultural processing products; computer integrated and automated manufacturing systems in aircraft manufacturing; new approach to form accuracy control in machining; design analysis for automatic assembly; workplace organization in flexible automated assembly systems; sensor for on-line inspection of drilled hole dimensional parameters; development of an adaptive robotic welding system.",1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Recently, Just-In-Time (JIT) purchasing practices have been recognized as a cornerstone of Japan's success in improving product quality and productivity. Traditionally, however, US firms have treated purchasing functions as a ‘profit centre’. This paper presents the proposition that US firms must recognize the potential of purchasing activities as ‘quality and productivity centres’ through successful implementation of JIT purchasing. Personal interviews have been conducted at four US manufacturing firms in an effort, first, to identify the major activities of JIT purchasing that have favourable effects on product quality and productivity and, second, to describe how these activities can improve product quality and productivity in US firms. © 1988 Taylor & Francis Group, LLC.",1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"This paper presents an implementation of a decomposition-coordination approach to petroleum refinery production scheduling. In this approach the scheduling problem is not formulated as a single mathematical programming model to be solved through a computerized system, but it is dealt with as a mathematical programming process, in which a number of small problems are practically solved, and their solutions are combined into an overall schedule Our approach does not pursue an exact optimum, but quite satisfactory schedules have been generated from a practical viewpoint and productivity in the scheduling process has been remarkably raised An interactive computerized scheduling system has been tailored using a commercial MPS and its Extended Control Language (ECL). The man-hours required for making a final schedule has been reduced to one-third as compared with the previous way. © 1983 Taylor & Francis Group, LLC.",1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"COMSOAL, an acronym for a computer Method of Sequencing Operations for Assembly Lines, is a method of balancing large complex machine-paced assembly lines. Basically, by means of a high-speed digital computer, sampled data is used for Monte-Carlo simulation of the proposed designs. COMSOAL originated in an industrial operations research project and is in use at some factories of the Chrysler Corporation in an early form. The latest version, described here, awaits implementation in the factory situation. First, the problem is analyzed in simple form and two solutions are offered, with several results, arising from applications to situations with up to 1000 tasks. The analysis is then extended and solutions to the complex form, which includes eight typical additional constraints, mixed production and stochastic considerations, are presented. © Taylor and Francis Group, LLC.",1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
